wavelength,flux,error
2.48837,642.15,4.15
2.4885,642.74,4.15
2.48863,643.29,4.15
2.48875,643.75,4.15
2.48887,644.1,4.16
2.489,644.35,4.16
2.48913,644.51,4.16
2.48925,644.59,4.16
2.48937,644.64,4.16
2.4895,644.73,4.16
2.48962,644.86,4.16
2.48975,645.06,4.17
2.48987,645.33,4.17
2.49,645.71,4.17
2.49012,646.11,4.17
2.49025,646.54,4.17
2.49038,646.99,4.17
2.4905,647.44,4.18
2.49062,647.9,4.18
2.49075,648.37,4.18
2.49088,648.83,4.18
2.491,649.3,4.18
2.49112,649.78,4.18
2.49125,650.24,4.2
2.49137,650.68,4.2
2.4915,651.09,4.2
2.49162,651.43,4.2
2.49175,651.68,4.2
2.49187,651.87,4.2
2.492,651.97,4.21
2.49213,652.02,4.21
2.49225,652,4.21
2.49237,651.95,4.21
2.4925,651.87,4.21
2.49262,651.79,4.21
2.49275,651.7,4.22
2.49287,651.6,4.22
2.493,651.5,4.22
2.49312,651.37,4.22
2.49325,651.27,4.22
2.49337,651.22,4.22
2.4935,651.18,4.23
2.49362,651.24,4.23
2.49375,651.39,4.23
2.49388,651.68,4.23
2.494,652.12,4.23
2.49412,652.73,4.23
2.49425,653.56,4.24
2.49437,654.52,4.24
2.4945,655.62,4.24
2.49462,656.76,4.24
2.49475,657.91,4.24
2.49487,658.99,4.24
2.495,659.88,4.25
2.49512,660.53,4.25
2.49525,660.96,4.25
