2022 04 27.533288,15 24 26.669,+14 56 32.60,15.94 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 27.934825,15 24 19.37,+14 56 09.4,16.0 G,G33 – Wickede,MPEC H107,
2022 04 27.935995,15 24 19.35,+14 56 09.1,16.0 G,G33 – Wickede,MPEC H107,
2022 04 27.937164,15 24 19.30,+14 56 09.2,16.1 G,G33 – Wickede,MPEC H107,
2022 04 27.938334,15 24 19.27,+14 56 09.2,16.2 G,G33 – Wickede,MPEC H107,
2022 04 27.939417,15 24 19.23,+14 56 09.1,16.1 G,G33 – Wickede,MPEC H107,
2022 04 27.940674,15 24 19.19,+14 56 09.0,16.1 G,G33 – Wickede,MPEC H107,
2022 04 27.95727,15 24 18.75,+14 56 09.5,16.1 G,C23 – Olmen,MPEC H107,
2022 04 27.96089,15 24 18.61,+14 56 09.4,16.0 G,C23 – Olmen,MPEC H107,
2022 04 27.96399,15 24 18.51,+14 56 09.1,16.1 G,C23 – Olmen,MPEC H107,
2022 04 27.98442,15 24 17.71,+14 56 08.1,15.9 G,"L65 – Bredenkamp Observatory, Bremen",MPEC H107,
2022 04 28.00416,15 24 17.08,+14 56 07.7,15.7 G,"L65 – Bredenkamp Observatory, Bremen",MPEC H107,
2022 04 28.01894,15 24 16.58,+14 56 07.4,16.1 G,"L65 – Bredenkamp Observatory, Bremen",MPEC H107,
2022 04 28.376906,15 24 07.607,+14 56 06.43,15.95 G,G96 – Mt. Lemmon Survey,MPEC H128,
2022 04 28.382043,15 24 07.412,+14 56 06.25,15.97 G,G96 – Mt. Lemmon Survey,MPEC H128,
2022 04 28.387162,15 24 07.218,+14 56 05.93,16.00 G,G96 – Mt. Lemmon Survey,MPEC H128,
2022 04 28.392306,15 24 07.016,+14 56 05.68,16.03 G,G96 – Mt. Lemmon Survey,MPEC H128,
2022 04 30.01250,15 23 22.25,+14 53 27.3,15.9 V,M16 – Osservatorio Il Coreggiolo,MPEC J09,
2022 04 30.02829,15 23 21.56,+14 53 24.9,15.9 V,M16 – Osservatorio Il Coreggiolo,MPEC J09,
2022 04 30.04408,15 23 20.85,+14 53 22.6,15.9 V,M16 – Osservatorio Il Coreggiolo,MPEC J09,
2022 04 30.320560,15 23 13.010,+14 52 46.31,15.57 r,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 04 30.357450,15 23 11.270,+14 52 40.40,15.56 r,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 04 30.378181,15 23 10.291,+14 52 36.91,16.18 g,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 04 30.401370,15 23 09.190,+14 52 32.81,15.47 i,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 04 30.477481,15 23 07.099,+14 52 29.42,15.55 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC J17,
2022 04 30.480419,15 23 06.955,+14 52 29.03,15.53 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC J17,
