"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
52695,3.583,0.4477,1.35,358.74,69.06,244.04,2452695.5,1.979,2453493.54,200
54413,5.955,0.5070,24.77,92.95,191.95,324.86,2454413.5,2.936,2454931.54,630
54471,4.908,0.3332,12.12,234.82,133.69,338.97,2454471.5,3.272,2454703.51,610
56055,3.461,0.6129,7.04,35.29,24.95,209.80,2456055.5,1.340,2457036.83,865
54096,3.773,0.3303,2.19,194.59,255.64,255.98,2454096.5,2.527,2454869.95,409
55955,4.654,0.3160,2.97,290.52,154.72,70.58,2455955.5,3.183,2455236.54,1166
54757,3.664,0.4705,6.58,109.11,355.04,352.66,2454757.5,1.940,2454809.77,1238
56614,3.547,0.5670,15.29,179.63,154.27,280.02,2456614.5,1.536,2457156.50,536
53922,3.234,0.6485,33.20,204.38,181.36,217.44,2453922.5,1.136,2454763.55,284
53977,3.884,0.7570,10.15,200.67,271.20,257.08,2453977.5,0.944,2454776.88,143
55422,4.04,0.3744,4.41,36.40,310.65,99.80,2455422.5,2.528,2454600.12,220
55947,2.932,0.6920,20.62,63.61,152.13,198.35,2455947.5,0.903,2456770.72,2794
55230,3.176,0.8317,10.22,93.87,345.77,71.41,2455230.5,0.534,2454820.48,715
56055,3.562,0.3384,18.88,117.27,4.27,160.68,2456055.5,2.357,2454959.45,659
54872,3.929,0.5789,22.40,98.93,15.05,8.70,2454872.5,1.654,2454803.77,124
57990,3.347,0.4075,10.38,311.32,5.55,355.11,2457990.5,1.983,2458020.87,353
52790,3.604,0.4896,15.23,348.31,190.16,65.67,2452790.5,1.840,2452334.55,131
57210,4.323,0.2018,10.06,63.72,253.20,191.32,2457210.5,3.451,2458748.96,979
53093,3.883,0.4453,9.04,359.91,151.65,146.83,2453093.5,2.154,2451953.46,182
55420,3.944,0.6896,12.88,125.62,246.76,42.40,2455420.5,1.224,2455083.49,3272
55413,3.342,0.4911,18.17,226.62,10.78,65.88,2455413.5,1.701,2455005.08,707
55447,3.654,0.3530,11.53,231.03,107.71,26.32,2455447.5,2.364,2455260.98,752
55808,3.113,0.5022,8.13,150.12,180.75,112.64,2455808.5,1.550,2455180.76,476
55628,3.474,0.4874,11.43,229.99,39.55,117.58,2455628.5,1.781,2454855.98,604
54620,2.857,0.7268,5.15,7.13,345.43,267.12,2454620.5,0.781,2455075.67,239
